rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
127	C20H30O10	[M - H]-	C20H30O10	81.22487623117708	77.55349310869207	3.671383122485014	27	0.9396912390189609	2.526032137785754	2.9131372503964	0.02165097039503538		429.17663	628.88	367_LimoneneNegative_370
128	C13H16O8	[M - H]-	C13H16O8	80.84422258255208	78.66734991427201	2.176872668280063	19	0.8812026884843911	2.6794164414822768	3.0402472553034388	-8.028157465484568		299.07484	231.97	216_LimoneneNegative_219
129	C7H12O3	[M - H2O - H]-	C7H10O2	80.35880140657895	77.3884307358526	2.970370670726351	12	0.9552234576716877	0.6701059467895434	1.7269565972626026	-144011.47496355927		125.06113	138.17	119_LimoneneNegative_120
130	C19H30O5	[M - H]-	C19H30O5	79.83912404143547	73.81958449996127	6.019539541474199	29	0.9171182481287843	1.6508307659930253	2.1402018424966864	0.896767447169066		337.20235	951.13	442_LimoneneNegative_445
131	C6H10O3	[M - H]-	C6H10O3	79.63346479275171	74.98858813247654	4.644876660275166	10	0.9452372673275757	-3.0870118596002527	3.8541038768841975	2.9620613868506083		129.05610	85.33	57_LimoneneNegative_58
132	C12H14O7	[M - H]-	C12H14O7	79.2631605618404	77.20432656176078	2.0588340000796084	13	0.9273769116082166	1.4533712041475777	2.5238060800254263	-8.571688289505493		269.06437	314.04	265_LimoneneNegative_268
133	C9H14O4	[M - H]-	C9H14O4	79.25176713736806	73.86031417247983	5.391452964888226	15	0.9493146463666559	1.1338815762492338	3.3086781794821296	1.3914039515563579		185.08219	159.27	142_LimoneneNegative_143
134	C21H36O11	[M - H]-	C21H36O11	78.61127806494085	74.84439111782808	3.7668869471127637	14	0.8598952305079143	2.3113383959016844	3.277531703859784	0.5493734786620914		463.21874	747.34	399_LimoneneNegative_402
135	C10H16O7	[M - H2O - H]-	C10H14O6	78.27175129739699	74.80497739023826	3.4667739071587236	21	0.9492937377419415	1.4967801170406503	2.2146213343361505	-78623.84120364279		229.07182	174.09	161_LimoneneNegative_163
136	C8H10O6	[M - H]-	C8H10O6	78.18231839684945	75.19804694002532	2.9842714568241253	24	0.766325221480693	1.2061077374551967	2.920770546215134	2.2304519540266696		201.04091	99.99	80_LimoneneNegative_81
137	C17H26O7	[M - H]-	C17H26O7	78.0985737990415	74.34517529404972	3.7533985049917784	13	0.9461017668317993	1.931703408964868	2.90346913005615	0.038926215276897644		341.16059	721.53	394_LimoneneNegative_397
138	C6H10O4	[M - H]-	C6H10O4	78.0558876232799	75.26292765945469	2.792959963825217	12	0.9520913981476347	-2.1082559798326863	2.9040139590858374	2.7414634044783406		145.05103	231.97	211_LimoneneNegative_214
139	C19H28O9	[M - H]-	C19H28O9	77.36914923954716	74.67868336844995	2.6904658710972074	27	0.8411065543740607	2.646015254420552	3.5573936583598686	-0.06519570182372725		399.16603	600.95	359_LimoneneNegative_362
140	C21H36O10	[M - H2O - H]-	C21H34O9	77.27317581048166	73.34475343418829	3.9284223762933634	24	0.9223294678250229	1.7149882349938064	2.3919113624892567	-41961.99420248004		429.21294	613.79	362_LimoneneNegative_365
141	C10H16O4	[M - H]-	C10H16O4	77.18188114152801	73.95610916742538	3.225771974102631	23	0.9295353335432499	1.950224459607845	2.770325086815918	1.5944924107308718		199.09790	301.05	260_LimoneneNegative_263
142	C17H24O9	[M - H]-	C17H24O9	76.80950280742677	73.27378464612116	3.5357181613056112	27	0.9222769091177652	1.3362886610355733	2.3984866161567835	0.30744642918663045		371.13487	448.53	312_LimoneneNegative_315
143	C20H32O9	[M - H2O - H]-	C20H30O8	76.66365628144115	72.83403363484149	3.8296226465996597	31	0.9329546840130779	1.1505297357773836	2.079911561654918	-45345.33022085018		397.18679	732.26	397_LimoneneNegative_400
144	C6H10O4	[M - H]-	C6H10O4	76.57945092944308	73.85184708089794	2.7276038485451415	14	0.9667484605376357	-1.959079153400487	2.6339427124115353	2.2588757119090603		145.05096	64.34	28_LimoneneNegative_28
145	C9H14O4	[M - H]-	C9H14O4	76.55974716504966	71.45771801094742	5.102029154102234	22	0.9215216892586052	1.383412568506571	3.2393463013691854	1.6075238046429479		185.08223	303.13	263_LimoneneNegative_266
146	C8H14O3	[M - H]-	C8H14O3	76.51521068002046	73.47675081238962	3.0384598676308374	20	0.9286895759214874	0.748285115736445	2.7565213268899043	1.7324386368806026		157.08729	167.73	155_LimoneneNegative_156
147	C10H16O5	[M - H]-	C10H16O5	76.30758206056454	72.90812926652646	3.3994527940380763	21	0.9177223714899436	2.11030799785691	2.750438072940561	0.7570694906702906		215.09266	335.57	279_LimoneneNegative_282
148	C19H28O6	[M - H]-	C19H28O6	76.24096524885273	72.3492028702143	3.891762378638438	14	0.9382914005127537	1.9526072576563955	2.1572069903595406	0.4779183988039959		351.18148	842.23	418_LimoneneNegative_421
149	C6H8O4	[M - H]-	C6H8O4	76.04215999746914	73.27921914141722	2.7629408560519333	15	0.9880597336706165	-1.0405388585588486	3.2278744220732394	2.2212425221970653		143.03530	60.14	20_LimoneneNegative_20
150	C8H10O5	[M - H]-	C8H10O5	76.0164741019397	72.9061228692538	3.110351232685898	20	0.9084860630974412	1.2202582488788645	2.837944752593091	1.637605439714528		185.04585	165.63	151_LimoneneNegative_152
151	C18H26O9	[M - H]-	C18H26O9	75.6791313709418	72.12678381289872	3.552347558043079	26	0.8797432360145271	1.8172747589304525	2.2591728263975726	0.5297670189928934		385.15061	448.53	313_LimoneneNegative_316
152	C12H20O6	[M - H2O - H]-	C12H18O5	75.05475198982892	71.63874107461746	3.4160109152114577	13	0.9330436088622743	1.697911828799101	2.799369595080575	-74697.94151066495		241.10841	633.19	369_LimoneneNegative_372
153	C9H14O4	[M - H]-	C9H14O4	75.02160980395506	69.60088822141385	5.420721582541208	10	0.9003922090008643	1.3589823180744143	3.3591114909714808	1.1212540039857744		185.08214	515.38	331_LimoneneNegative_334
154	C18H28O8	[M - H2O - H]-	C18H26O7	74.73175666181109	71.08891552251832	3.642841139292764	26	0.8692078241625316	1.9423970114225244	2.37023217240266	-50997.655837904815		353.16077	755.93	400_LimoneneNegative_403
